nsorder,Transect Block,Beach Section Initials,BEACH,TYPE,LAT,LONG,Y_PROJ,X_PROJ,COMMENT,ALTITUDE,length
44,TRASH,SAN,NORTH,CLOSED,35,-121,3851930,717290,08-MAR-11 10:30:48,-2,146.9965986
36,TREX,SAN,NORTH,CLOSED,35,-121,3853022,717614,08-MAR-11 9:37:26,1,155.3319027
30,TRILOG,SHS,NORTH,CLOSED,35,-121,3853967,717804,25-MAR-11 10:32:32,0,245.9674775
48,TURTLE,SAN,NORTH,CLOSED,35,-121,3851316,717091,08-MAR-11 10:59:04,1,176.0823671
4,TUVU,MIN,NORTH,CLOSED,35,-121,3859327,718516,16-MAR-11 9:14:15,4,148.7581931
,UNKNOWN MINUTEMAN,MIN,,,,,,,,,
,UNKNOWN PURISIMA NORTH,PNO,,,,,,,,,
,UNKNOWN SAN ANTONIO,SAN,,,,,,,,,
,UNKNOWN SHUMAN NORTH,SHN,,,,,,,,,
,UNKNOWN SHUMAN SOUTH,SHS,,,,,,,,,
,UNKNOWN SURF NORTH,SNO,,,,,,,,,
,UNKNOWN SURF SOUTH,SSO,,,,,,,,,
,UNKNOWN WALL,WAL,,,,,,,,,
104,UTAH,SSO,SOUTH,CLOSED,35,-121,3836881,718289,05-MAR-11 13:48:49,13,150.2165104
56,WALL OPEN,WAL,SOUTH,OPEN,35,-121,3843549,719601,15-APR-11 7:12:06,2,489.4946374
57,WALLBORDER,WAL,SOUTH,CLOSED,35,-121,3843076,719727,05-MAR-11 9:25:01,-4,204.684774
,WHISKERS,SNO,,,35,-121,3838796,718863,05-MAR-11 12:48:37,8,
59,WILLOW,WAL,SOUTH,CLOSED,35,-121,3842872,719716,05-MAR-11 9:30:27,4,130.2459212
46,WISHBONE,SAN,NORTH,CLOSED,35,-121,3851637,717206,08-MAR-11 10:47:50,-2,135.9779394
95,WITCH,SSO,SOUTH,CLOSED,35,-121,3838088,718652,05-MAR-11 13:14:05,12,167.8689965
