survey_week,beach,species_type,total
2015-10-19,PURISIMA,Shorebird,135
2015-10-19,SOUTH,Shorebird,869
2015-11-16,NORTH,Gull,70
2015-11-16,NORTH,Shorebird,612
2015-11-16,NORTH,Tern,4
2015-11-16,PURISIMA,Shorebird,72
2015-11-16,SOUTH,Gull,2
2015-11-16,SOUTH,Shorebird,305
2015-12-14,NORTH,Gull,20
2015-12-14,NORTH,Shorebird,233
2015-12-14,PURISIMA,Shorebird,16
2015-12-14,SOUTH,Gull,81
2015-12-14,SOUTH,Shorebird,275
2015-12-14,SOUTH,Tern,15
2016-01-18,NORTH,Gull,6
2016-01-18,NORTH,Shorebird,377
2016-01-18,PURISIMA,Shorebird,71
2016-01-18,SOUTH,Gull,2
2016-01-18,SOUTH,Shorebird,701
2016-02-15,NORTH,Gull,2
2016-02-15,NORTH,Shorebird,718
2016-02-15,PURISIMA,Shorebird,15
2016-02-15,SOUTH,Gull,6
2016-02-15,SOUTH,Shorebird,566
2016-02-29,SOUTH,Shorebird,1653
2016-03-07,NORTH,Shorebird,905
2016-03-07,PURISIMA,Shorebird,5
2016-03-14,SOUTH,Gull,51
2016-03-14,SOUTH,Shorebird,3402
2016-03-21,NORTH,Gull,2
2016-03-21,NORTH,Shorebird,74
2016-03-21,PURISIMA,Shorebird,6
2016-03-28,SOUTH,Gull,3
